photoID	userID	source	height	width	link	likes
4	2	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	1128	642	https://www.SocialFace.com/Julius.Northam/nightout/nightout2	123		
6	2	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	1552	873	https://www.SocialFace.com/Joos.Rendell/nightout/nightout	170
58	3	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	400	422	https://www.SocialFace.com/Allan.Shopland/school	53
13	4	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	400	400	https://www.SocialFace.com/Gerrard.Bickford/Me/me	47
3	5	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	318	159	https://www.SocialFace.com/Christian.Strong/My Family/family1	77
14	5	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	724	543	https://www.SocialFace.com/Christian.Strong/My Family/family2	36
14	5	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	275	183	https://www.SocialFace.com/Christian.Strong/My Family/family3	22
33	6	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	183	275	https://www.SocialFace.com/Petros.Bracey/Sister's Graduation/grad	100
2	7	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	400	422	https://www.SocialFace.com/Archilai.Pryor/school	178
91	8	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	400	422	https://www.SocialFace.com/Bevil.Gassick/School Trip/school	190
65	9	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	1037	1210	https://www.SocialFace.com/Susanneox/Friends/friends	99
55	10	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	1552	873	https://www.SocialFace.com/Dimitri.Finch/xmaspic2020	55
8	1	C:\Users\35797\Desktop\uni\5th semester\EPL342\Images	700	467	https://socialface.com/Julius.Northam/Trip/trip	21
